,Year,Category,Prize Share,Laureate ID,Laureate Type,FullName,BirthDate,Birth City,Birth Country,Sex,OrganizationName,OrganizationCountry
33,1906,Medicine,1/2,298,Individual,Camillo Golgi,1843-07-07,Corteno,Italy,Male,Pavia University,Italy
34,1906,Medicine,1/2,299,Individual,Santiago Ramón y Cajal,1852-05-01,Petilla de Aragó,Spain,Male,Madrid University,Spain
35,1906,Peace,1/1,470,Individual,Theodore Roosevelt,1858-10-27,"New York, NY",United States of America,Male,Not Applicable,Not Applicable
36,1906,Physics,1/1,10,Individual,Joseph John Thomson,1856-12-18,"Cheetham Hill, near Manchester",United Kingdom,Male,University of Cambridge,United Kingdom
37,1907,Chemistry,1/1,166,Individual,Eduard Buchner,1860-05-20,Munich,Bavaria (Germany),Male,Landwirtschaftliche Hochschule (Agricultural College),Germany
38,1907,Literature,1/1,577,Individual,Rudyard Kipling,1865-12-30,Bombay,British India (India),Male,Not Applicable,Not Applicable
39,1907,Medicine,1/1,300,Individual,Charles Louis Alphonse Laveran,1845-06-18,Paris,France,Male,Institut Pasteur,France
40,1907,Peace,1/2,471,Individual,Ernesto Teodoro Moneta,1833-09-20,Milan,Austrian Empire (Italy),Male,Not Applicable,Not Applicable
41,1907,Peace,1/2,472,Individual,Louis Renault,1843-05-21,Autun,France,Male,Sorbonne University,France
42,1907,Physics,1/1,11,Individual,Albert Abraham Michelson,1852-12-19,Strelno (Strzelno),Prussia (Poland),Male,University of Chicago,United States of America
43,1908,Chemistry,1/1,167,Individual,Ernest Rutherford,1871-08-30,Nelson,New Zealand,Male,Victoria University,United Kingdom
44,1908,Literature,1/1,578,Individual,Rudolf Christoph Eucken,1846-01-05,Aurich,East Friesland (Germany),Male,Not Applicable,Not Applicable
45,1908,Medicine,1/2,301,Individual,Ilya Ilyich Mechnikov,1845-05-15,Kharkov (Kharkiv),Russian Empire (Ukraine),Male,Institut Pasteur,France
46,1908,Medicine,1/2,302,Individual,Paul Ehrlich,1854-03-14,Strehlen (Strzelin),Prussia (Poland),Male,Goettingen University,Germany
47,1908,Medicine,1/2,302,Individual,Paul Ehrlich,1854-03-14,Strehlen (Strzelin),Prussia (Poland),Male,Königliches Institut für experimentelle Therapie (Royal Institute for Experimental Therapy),Germany
48,1908,Peace,1/2,473,Individual,Klas Pontus Arnoldson,1844-10-27,Gothenburg,Sweden,Male,Not Applicable,Not Applicable
49,1908,Peace,1/2,474,Individual,Fredrik Bajer,1837-04-21,Næstved,Denmark,Male,Not Applicable,Not Applicable
50,1908,Physics,1/1,12,Individual,Gabriel Lippmann,1845-08-16,Hollerich,Luxembourg,Male,Sorbonne University,France
51,1909,Chemistry,1/1,168,Individual,Wilhelm Ostwald,1853-09-02,Riga,Russian Empire (Latvia),Male,Leipzig University,Germany
52,1909,Literature,1/1,579,Individual,Selma Ottilia Lovisa Lagerlöf,1858-11-20,Mårbacka,Sweden,Female,Not Applicable,Not Applicable
53,1909,Medicine,1/1,303,Individual,Emil Theodor Kocher,1841-08-25,Berne,Switzerland,Male,Berne University,Switzerland
54,1909,Peace,1/2,475,Individual,Auguste Marie François Beernaert,1829-07-26,Ostend,Belgium,Male,Not Applicable,Not Applicable
55,1909,Peace,1/2,476,Individual,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",1852-11-22,La Flèche,France,Male,Not Applicable,Not Applicable
56,1909,Physics,1/2,13,Individual,Guglielmo Marconi,1874-04-25,Bologna,Italy,Male,Marconi Wireless Telegraph Co. Ltd.,United Kingdom
57,1909,Physics,1/2,14,Individual,Karl Ferdinand Braun,1850-06-06,Fulda,Hesse-Kassel (Germany),Male,Strasbourg University,"Alsace (then Germany, now France)"
58,1910,Chemistry,1/1,169,Individual,Otto Wallach,1847-03-27,Koenigsberg (Kaliningrad),Germany (Russia),Male,Goettingen University,Germany
59,1910,Literature,1/1,580,Individual,Paul Johann Ludwig Heyse,1830-03-15,Berlin,Prussia (Germany),Male,Not Applicable,Not Applicable
60,1910,Medicine,1/1,304,Individual,Albrecht Kossel,1853-09-16,Rostock,Mecklenburg (Germany),Male,University of Heidelberg,Germany
61,1910,Peace,1/1,477,Organization,Bureau international permanent de la Paix (Permanent International Peace Bureau),,,,org,Not Applicable,Not Applicable
62,1910,Physics,1/1,15,Individual,Johannes Diderik van der Waals,1837-11-23,Leiden,Netherlands,Male,Amsterdam University,Netherlands
63,1911,Chemistry,1/1,6,Individual,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female,Sorbonne University,France
64,1911,Literature,1/1,581,Individual,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,1862-08-29,Ghent,Belgium,Male,Not Applicable,Not Applicable
65,1911,Medicine,1/1,305,Individual,Allvar Gullstrand,1862-06-05,Landskrona,Sweden,Male,Uppsala University,Sweden
66,1911,Peace,1/2,478,Individual,Tobias Michael Carel Asser,1838-04-28,Amsterdam,Netherlands,Male,Not Applicable,Not Applicable
67,1911,Peace,1/2,479,Individual,Alfred Hermann Fried,1864-11-11,Vienna,Austria,Male,Not Applicable,Not Applicable
68,1911,Physics,1/1,16,Individual,Wilhelm Wien,1864-01-13,Gaffken (Parusnoye),Prussia (Russia),Male,Würzburg University,Germany
69,1912,Chemistry,1/2,172,Individual,Victor Grignard,1871-05-06,Cherbourg,France,Male,Nancy University,France
70,1912,Chemistry,1/2,173,Individual,Paul Sabatier,1854-11-05,Carcassonne,France,Male,Toulouse University,France
71,1912,Literature,1/1,582,Individual,Gerhart Johann Robert Hauptmann,1862-11-15,Bad Salzbrunn,Prussia (Germany),Male,Not Applicable,Not Applicable
72,1912,Medicine,1/1,306,Individual,Alexis Carrel,1873-06-28,Sainte-Foy-lès-Lyon,France,Male,Rockefeller Institute for Medical Research,United States of America
73,1912,Peace,1/1,480,Individual,Elihu Root,1845-02-15,"Clinton, NY",United States of America,Male,Not Applicable,Not Applicable
74,1912,Physics,1/1,17,Individual,Nils Gustaf Dalén,1869-11-30,Stenstorp,Sweden,Male,Swedish Gas-Accumulator Co.,Sweden
75,1913,Chemistry,1/1,174,Individual,Alfred Werner,1866-12-12,Mulhouse,France,Male,University of Zurich,Switzerland
76,1913,Literature,1/1,583,Individual,Rabindranath Tagore,1861-05-07,Calcutta,India,Male,Not Applicable,Not Applicable
77,1913,Medicine,1/1,307,Individual,Charles Robert Richet,1850-08-26,Paris,France,Male,Sorbonne University,France
78,1913,Peace,1/1,481,Individual,Henri La Fontaine,1854-04-22,Brussels,Belgium,Male,Not Applicable,Not Applicable
79,1913,Physics,1/1,18,Individual,Heike Kamerlingh Onnes,1853-09-21,Groningen,Netherlands,Male,Leiden University,Netherlands
80,1914,Chemistry,1/1,175,Individual,Theodore William Richards,1868-01-31,"Germantown, PA",United States of America,Male,Harvard University,United States of America
81,1914,Medicine,1/1,308,Individual,Robert Bárány,1876-04-22,Vienna,Austria,Male,Vienna University,Austria
82,1914,Physics,1/1,19,Individual,Max von Laue,1879-10-09,Pfaffendorf,Germany,Male,Frankfurt-on-the-Main University,Germany
83,1915,Chemistry,1/1,176,Individual,Richard Martin Willstätter,1872-08-13,Karlsruhe,Germany,Male,Munich University,Germany
84,1915,Literature,1/1,584,Individual,Romain Rolland,1866-01-29,Clamecy,France,Male,Not Applicable,Not Applicable
85,1915,Physics,1/2,20,Individual,Sir William Henry Bragg,1862-07-02,Wigton,United Kingdom,Male,University College,United Kingdom
86,1915,Physics,1/2,21,Individual,William Lawrence Bragg,1890-03-31,Adelaide,Australia,Male,Victoria University,United Kingdom
87,1916,Literature,1/1,585,Individual,Carl Gustaf Verner von Heidenstam,1859-07-06,Olshammar,Sweden,Male,Not Applicable,Not Applicable
88,1917,Literature,1/2,586,Individual,Karl Adolph Gjellerup,1857-06-02,Roholte,Denmark,Male,Not Applicable,Not Applicable
89,1917,Literature,1/2,587,Individual,Henrik Pontoppidan,1857-07-24,Fredericia,Denmark,Male,Not Applicable,Not Applicable
90,1917,Peace,1/1,482,Organization,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,org,Not Applicable,Not Applicable
91,1917,Physics,1/1,22,Individual,Charles Glover Barkla,1877-06-07,Widnes,United Kingdom,Male,Edinburgh University,United Kingdom
92,1918,Chemistry,1/1,177,Individual,Fritz Haber,1868-12-09,Breslau (Wroclaw),Prussia (Poland),Male,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Germany
93,1918,Physics,1/1,23,Individual,Max Karl Ernst Ludwig Planck,1858-04-23,Kiel,Schleswig (Germany),Male,Berlin University,Germany
94,1919,Literature,1/1,588,Individual,Carl Friedrich Georg Spitteler,1845-04-24,Liestal,Switzerland,Male,Not Applicable,Not Applicable
95,1919,Medicine,1/1,309,Individual,Jules Bordet,1870-06-13,Soignies,Belgium,Male,Brussels University,Belgium
96,1919,Peace,1/1,483,Individual,Thomas Woodrow Wilson,1856-12-28,"Staunton, VA",United States of America,Male,Not Applicable,Not Applicable
97,1919,Physics,1/1,24,Individual,Johannes Stark,1874-04-15,Schickenhof,Germany,Male,Greifswald University,Germany
98,1920,Chemistry,1/1,178,Individual,Walther Hermann Nernst,1864-06-25,Briesen,Prussia (Germany),Male,Berlin University,Germany
99,1920,Literature,1/1,589,Individual,Knut Pedersen Hamsun,1859-08-04,Lom,Norway,Male,Not Applicable,Not Applicable
100,1920,Medicine,1/1,310,Individual,Schack August Steenberg Krogh,1874-11-15,Grenå,Denmark,Male,Copenhagen University,Denmark
101,1920,Peace,1/1,484,Individual,Léon Victor Auguste Bourgeois,1851-05-21,Paris,France,Male,Not Applicable,Not Applicable
102,1920,Physics,1/1,25,Individual,Charles Edouard Guillaume,1861-02-15,Fleurier,Switzerland,Male,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),France
103,1921,Chemistry,1/1,179,Individual,Frederick Soddy,1877-09-02,Eastbourne,United Kingdom,Male,University of Oxford,United Kingdom
104,1921,Literature,1/1,590,Individual,Anatole France,1844-04-16,Paris,France,Male,Not Applicable,Not Applicable
105,1921,Peace,1/2,485,Individual,Karl Hjalmar Branting,1860-11-23,Stockholm,Sweden,Male,Not Applicable,Not Applicable
106,1921,Peace,1/2,486,Individual,Christian Lous Lange,1869-09-17,Stavanger,Norway,Male,Not Applicable,Not Applicable
107,1921,Physics,1/1,26,Individual,Albert Einstein,1879-03-14,Ulm,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Germany
108,1922,Chemistry,1/1,180,Individual,Francis William Aston,1877-09-01,Harborne,United Kingdom,Male,University of Cambridge,United Kingdom
109,1922,Literature,1/1,592,Individual,Jacinto Benavente,1866-08-12,Madrid,Spain,Male,Not Applicable,Not Applicable
110,1922,Medicine,1/2,311,Individual,Archibald Vivian Hill,1886-09-26,Bristol,United Kingdom,Male,London University,United Kingdom
111,1922,Medicine,1/2,312,Individual,Otto Fritz Meyerhof,1884-04-12,Hanover,Germany,Male,Kiel University,Germany
112,1922,Peace,1/1,487,Individual,Fridtjof Nansen,1861-10-10,Kristiania (Oslo),Norway,Male,Not Applicable,Not Applicable
113,1922,Physics,1/1,27,Individual,Niels Henrik David Bohr,1885-10-07,Copenhagen,Denmark,Male,Copenhagen University,Denmark
114,1923,Chemistry,1/1,181,Individual,Fritz Pregl,1869-09-03,Laibach (Ljubljana),Austria-Hungary (Slovenia),Male,Graz University,Austria
115,1923,Literature,1/1,593,Individual,William Butler Yeats,1865-06-13,Dublin,Ireland,Male,Not Applicable,Not Applicable
116,1923,Medicine,1/2,313,Individual,Frederick Grant Banting,1891-11-14,Alliston,Canada,Male,University of Toronto,Canada
117,1923,Medicine,1/2,314,Individual,John James Rickard Macleod,1876-09-06,Cluny,Scotland,Male,University of Toronto,Canada
118,1923,Physics,1/1,28,Individual,Robert Andrews Millikan,1868-03-22,"Morrison, IL",United States of America,Male,California Institute of Technology (Caltech),United States of America
119,1924,Literature,1/1,594,Individual,Wladyslaw Stanislaw Reymont,1867-05-07,Kobiele Wielkie,Russian Empire (Poland),Male,Not Applicable,Not Applicable
120,1924,Medicine,1/1,315,Individual,Willem Einthoven,1860-05-21,Semarang,"Java, Dutch East Indies (Indonesia)",Male,Leiden University,Netherlands
121,1924,Physics,1/1,29,Individual,Karl Manne Georg Siegbahn,1886-12-03,Lund,Sweden,Male,Uppsala University,Sweden
122,1925,Chemistry,1/1,182,Individual,Richard Adolf Zsigmondy,1865-04-01,Vienna,Austrian Empire (Austria),Male,Goettingen University,Germany
123,1925,Literature,1/1,596,Individual,George Bernard Shaw,1856-07-26,Dublin,Ireland,Male,Not Applicable,Not Applicable
124,1925,Peace,1/2,488,Individual,Sir Austen Chamberlain,1863-10-16,Birmingham,United Kingdom,Male,Not Applicable,Not Applicable
125,1925,Peace,1/2,489,Individual,Charles Gates Dawes,1865-08-27,"Marietta, OH",United States of America,Male,Not Applicable,Not Applicable
126,1925,Physics,1/2,30,Individual,James Franck,1882-08-26,Hamburg,Germany,Male,Goettingen University,Germany
127,1925,Physics,1/2,31,Individual,Gustav Ludwig Hertz,1887-07-22,Hamburg,Germany,Male,Halle University,Germany
128,1926,Chemistry,1/1,183,Individual,The (Theodor) Svedberg,1884-08-30,Fleräng,Sweden,Male,Uppsala University,Sweden
129,1926,Literature,1/1,597,Individual,Grazia Deledda,1871-09-27,"Nuoro, Sardinia",Italy,Female,Not Applicable,Not Applicable
130,1926,Medicine,1/1,316,Individual,Johannes Andreas Grib Fibiger,1867-04-23,Silkeborg,Denmark,Male,Copenhagen University,Denmark
131,1926,Peace,1/2,490,Individual,Aristide Briand,1862-03-28,Nantes,France,Male,Not Applicable,Not Applicable
132,1926,Peace,1/2,491,Individual,Gustav Stresemann,1878-05-10,Berlin,Germany,Male,Not Applicable,Not Applicable
133,1926,Physics,1/1,32,Individual,Jean Baptiste Perrin,1870-09-30,Lille,France,Male,Sorbonne University,France
134,1927,Chemistry,1/1,184,Individual,Heinrich Otto Wieland,1877-06-04,Pforzheim,Germany,Male,Munich University,Germany
135,1927,Literature,1/1,600,Individual,Henri Bergson,1859-10-18,Paris,France,Male,Not Applicable,Not Applicable
136,1927,Medicine,1/1,317,Individual,Julius Wagner-Jauregg,1857-03-07,Wels,Austria,Male,Vienna University,Austria
137,1927,Peace,1/2,492,Individual,Ferdinand Buisson,1841-12-20,Paris,France,Male,Not Applicable,Not Applicable
138,1927,Peace,1/2,493,Individual,Ludwig Quidde,1858-03-23,Bremen,Germany,Male,Not Applicable,Not Applicable
139,1927,Physics,1/2,33,Individual,Arthur Holly Compton,1892-09-10,"Wooster, OH",United States of America,Male,University of Chicago,United States of America
140,1927,Physics,1/2,34,Individual,Charles Thomson Rees Wilson,1869-02-14,Glencorse,Scotland,Male,University of Cambridge,United Kingdom
141,1928,Chemistry,1/1,185,Individual,Adolf Otto Reinhold Windaus,1876-12-25,Berlin,Germany,Male,Goettingen University,Germany
142,1928,Literature,1/1,601,Individual,Sigrid Undset,1882-05-20,Kalundborg,Denmark,Female,Not Applicable,Not Applicable
143,1928,Medicine,1/1,318,Individual,Charles Jules Henri Nicolle,1866-09-21,Rouen,France,Male,Institut Pasteur,Tunisia
144,1928,Physics,1/1,35,Individual,Owen Willans Richardson,1879-04-26,Dewsbury,United Kingdom,Male,London University,United Kingdom
145,1929,Chemistry,1/2,186,Individual,Arthur Harden,1865-10-12,Manchester,United Kingdom,Male,London University,United Kingdom
146,1929,Chemistry,1/2,187,Individual,Hans Karl August Simon von Euler-Chelpin,1873-02-15,Augsburg,Germany,Male,Stockholm University,Sweden
147,1929,Literature,1/1,602,Individual,Thomas Mann,1875-06-06,Lübeck,Germany,Male,Not Applicable,Not Applicable
148,1929,Medicine,1/2,319,Individual,Christiaan Eijkman,1858-08-11,Nijkerk,Netherlands,Male,Utrecht University,Netherlands
149,1929,Medicine,1/2,320,Individual,Sir Frederick Gowland Hopkins,1861-06-20,Eastbourne,United Kingdom,Male,University of Cambridge,United Kingdom
150,1929,Peace,1/1,494,Individual,Frank Billings Kellogg,1856-12-22,"Potsdam, NY",United States of America,Male,Not Applicable,Not Applicable
151,1929,Physics,1/1,36,Individual,Prince Louis-Victor Pierre Raymond de Broglie,1892-08-15,Dieppe,France,Male,"Sorbonne University, Institut Henri Poincaré",France
152,1930,Chemistry,1/1,188,Individual,Hans Fischer,1881-07-27,Hoechst,Germany,Male,Technische Hochschule (Institute of Technology),Germany
153,1930,Literature,1/1,603,Individual,Sinclair Lewis,1885-02-07,"Sauk Centre, MN",United States of America,Male,Not Applicable,Not Applicable
154,1930,Medicine,1/1,321,Individual,Karl Landsteiner,1868-06-14,Vienna,Austrian Empire (Austria),Male,Rockefeller Institute for Medical Research,United States of America
155,1930,Peace,1/1,495,Individual,Lars Olof Jonathan (Nathan) Söderblom,1866-01-15,Trönö,Sweden,Male,Not Applicable,Not Applicable
156,1930,Physics,1/1,37,Individual,Sir Chandrasekhara Venkata Raman,1888-11-07,Tiruchirappalli,India,Male,Calcutta University,India
157,1931,Chemistry,1/2,189,Individual,Carl Bosch,1874-08-27,Cologne,Germany,Male,University of Heidelberg,Germany
158,1931,Chemistry,1/2,189,Individual,Carl Bosch,1874-08-27,Cologne,Germany,Male,I.G. Farbenindustrie A.G.,Germany
159,1931,Chemistry,1/2,190,Individual,Friedrich Bergius,1884-10-11,"Goldschmieden, near Breslau",Germany (Poland),Male,University of Heidelberg,Germany
160,1931,Chemistry,1/2,190,Individual,Friedrich Bergius,1884-10-11,"Goldschmieden, near Breslau",Germany (Poland),Male,I.G. Farbenindustrie A.G.,Germany
161,1931,Literature,1/1,604,Individual,Erik Axel Karlfeldt,1864-07-20,Karlbo,Sweden,Male,Not Applicable,Not Applicable
162,1931,Medicine,1/1,322,Individual,Otto Heinrich Warburg,1883-10-08,Freiburg im Breisgau,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biologie,Germany
163,1931,Peace,1/2,496,Individual,Jane Addams,1860-09-06,"Cedarville, IL",United States of America,Female,Not Applicable,Not Applicable
164,1931,Peace,1/2,497,Individual,Nicholas Murray Butler,1862-04-02,"Elizabeth, NJ",United States of America,Male,Columbia University,United States of America
165,1932,Chemistry,1/1,191,Individual,Irving Langmuir,1881-01-31,"Brooklyn, NY",United States of America,Male,General Electric Company,United States of America
166,1932,Literature,1/1,605,Individual,John Galsworthy,1867-08-14,Kingston Hill,United Kingdom,Male,Not Applicable,Not Applicable
167,1932,Medicine,1/2,323,Individual,Sir Charles Scott Sherrington,1857-11-27,London,United Kingdom,Male,University of Oxford,United Kingdom
168,1932,Medicine,1/2,324,Individual,Edgar Douglas Adrian,1889-11-30,London,United Kingdom,Male,University of Cambridge,United Kingdom
169,1932,Physics,1/1,38,Individual,Werner Karl Heisenberg,1901-12-05,Würzburg,Germany,Male,Leipzig University,Germany
170,1933,Literature,1/1,606,Individual,Ivan Alekseyevich Bunin,1870-10-22,Voronezh,Russia,Male,Not Applicable,Not Applicable
171,1933,Medicine,1/1,325,Individual,Thomas Hunt Morgan,1866-09-25,"Lexington, KY",United States of America,Male,California Institute of Technology (Caltech),United States of America
172,1933,Peace,1/1,498,Individual,Sir Norman Angell (Ralph Lane),1872-12-26,Holbeach,United Kingdom,Male,Not Applicable,Not Applicable
173,1933,Physics,1/2,39,Individual,Erwin Schrödinger,1887-08-12,Vienna,Austria,Male,Berlin University,Germany
174,1933,Physics,1/2,40,Individual,Paul Adrien Maurice Dirac,1902-08-08,Bristol,United Kingdom,Male,University of Cambridge,United Kingdom
175,1934,Chemistry,1/1,192,Individual,Harold Clayton Urey,1893-04-29,"Walkerton, IN",United States of America,Male,Columbia University,United States of America
176,1934,Literature,1/1,607,Individual,Luigi Pirandello,1867-06-28,"Agrigento, Sicily",Italy,Male,Not Applicable,Not Applicable
177,1934,Medicine,1/3,326,Individual,George Hoyt Whipple,1878-08-28,"Ashland, NH",United States of America,Male,University of Rochester,United States of America
178,1934,Medicine,1/3,327,Individual,George Richards Minot,1885-12-02,"Boston, MA",United States of America,Male,Harvard University,United States of America
179,1934,Medicine,1/3,328,Individual,William Parry Murphy,1892-02-06,"Stoughton, WI",United States of America,Male,Harvard University,United States of America
180,1934,Medicine,1/3,328,Individual,William Parry Murphy,1892-02-06,"Stoughton, WI",United States of America,Male,Peter Brent Brigham Hospital,United States of America
181,1934,Peace,1/1,499,Individual,Arthur Henderson,1863-09-13,Glasgow,Scotland,Male,Not Applicable,Not Applicable
182,1935,Chemistry,1/2,193,Individual,Frédéric Joliot,1900-03-19,Paris,France,Male,Institut du Radium,France
183,1935,Chemistry,1/2,194,Individual,Irène Joliot-Curie,1897-09-12,Paris,France,Female,Institut du Radium,France
184,1935,Medicine,1/1,329,Individual,Hans Spemann,1869-06-27,Stuttgart,W&uuml;rttemberg (Germany),Male,University of Freiburg im Breisgau,Germany
185,1935,Peace,1/1,500,Individual,Carl von Ossietzky,1889-10-03,Hamburg,Germany,Male,Not Applicable,Not Applicable
186,1935,Physics,1/1,41,Individual,James Chadwick,1891-10-20,Manchester,United Kingdom,Male,Liverpool University,United Kingdom
187,1936,Chemistry,1/1,195,Individual,Petrus (Peter) Josephus Wilhelmus Debye,1884-03-24,Maastricht,Netherlands,Male,Berlin University,Germany
188,1936,Chemistry,1/1,195,Individual,Petrus (Peter) Josephus Wilhelmus Debye,1884-03-24,Maastricht,Netherlands,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Germany
189,1936,Literature,1/1,608,Individual,Eugene Gladstone O'Neill,1888-10-16,"New York, NY",United States of America,Male,Not Applicable,Not Applicable
190,1936,Medicine,1/2,330,Individual,Sir Henry Hallett Dale,1875-06-09,London,United Kingdom,Male,National Institute for Medical Research,United Kingdom
191,1936,Medicine,1/2,331,Individual,Otto Loewi,1873-06-03,Frankfurt-on-the-Main,Germany,Male,Graz University,Austria
192,1936,Peace,1/1,501,Individual,Carlos Saavedra Lamas,1878-11-01,Buenos Aires,Argentina,Male,Not Applicable,Not Applicable
193,1936,Physics,1/2,42,Individual,Victor Franz Hess,1883-06-24,Peggau,Austria,Male,Innsbruck University,Austria
194,1936,Physics,1/2,43,Individual,Carl David Anderson,1905-09-03,"New York, NY",United States of America,Male,California Institute of Technology (Caltech),United States of America
195,1937,Chemistry,1/2,196,Individual,Walter Norman Haworth,1883-03-19,Chorley,United Kingdom,Male,Birmingham University,United Kingdom
196,1937,Chemistry,1/2,197,Individual,Paul Karrer,1889-04-21,Moscow,Russia,Male,University of Zurich,Switzerland
197,1937,Literature,1/1,609,Individual,Roger Martin du Gard,1881-03-23,Neuilly-sur-Seine,France,Male,Not Applicable,Not Applicable
198,1937,Medicine,1/1,332,Individual,Albert von Szent-Györgyi Nagyrápolt,1893-09-16,Budapest,Austria-Hungary (Hungary),Male,Szeged University,Hungary
199,1937,Peace,1/1,502,Individual,"Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)",1864-09-14,London,United Kingdom,Male,Not Applicable,Not Applicable
